author,title,classification_number,source_row
"Кристи, Агата.",Убийство в Восточном экспрессе,.U18 2022,592
"Wilde, Oscar.",The picture of Dorian Gray,PR5819,593
"Wells, H. G.",The Time Machine,.T5 2017,594
"Уэллс, Герберт.",Көрінбейтін адам,PR5774,595
"Gerbert, Wells.",Wells Gerbert.,PR5774,596
"Теннисон, Альфред.",Корлевские идиллии,PR5558,598
"Jacobs, W.W.",The Monkey's Paw,PR4821.J2,599
"Hofmann, Matthias,",Matthias Hofmann.,Q183.9,600
"Uilyam, Hezlitt.",On the Pleasure of Hating,PR4771,601
"Hardy, Thomas.",Thomas Hardy.,PR4748,602
"Дойл, Артур Конан.",Қылмыстың күрең қызыл арқауы,.S7 2024,603
"Collins, Wilkie.",Wilkie Collins.,.W6 2011,604
"Collins, Wilkie.",Wilkie Collins.,PR4494,605
Bronte Charlotte.,Jane Eyre,PR4167,606
"Barrie, J. M.",Peter Pan,PR4074,607
"Austen, Jane.",Persuasion,PR4034,608
"Austen, Jane.",Northanger Abbey,PR4034,609
"Умригар, Трити.",Честь,PS3621.M75,610
"Austen, Jane.",Mansfield Park,PR4034,612
"Scott, Emma.",In Harmony,.S36 2024,613
Celeste Ng.,Our Missing Hearts,PS3614.G83,614
"De Beauvoir, Simone.",The Mandarins,PR2603.E362,615
"De Cristofaro, Diletta.",The Contemporary Post-Apocalyptic Novel,PR890.A66,616
"Уайльд, Оскар.",Оскар Уайльд.,.W672 2022,617
,"Sustainable Business Models Innovation, Implementation and Success",.S87 2019,618
"Coelho, Paulo.",The Zahir A Novel of Obsession,.Z3413 2021,619
"Коэльо, Пауло.",Пауло Коэльо.,PQ9698.13.O3546,620
Ariana Godoy,Through My Window,.T47 2023,621
"Васкес, Хуан Габриэль.",Хуан Габриэль Васкес.,PQ8180.32.A797,622
"Борхес, Х. Л.",Х. Л. Борхес.,.V51 2023,623
"Борхес, Хорхе.",Хорхе Борхес.,PQ7797.B635,624
"Борхес, Х.Л.",Х.Л. Борхес.,.Z13 2023,625
"Борхес, Хорхе Луис.",Хорхе Луис Борхес .,PQ7797,626
"Вентурини, Аврора.",Кузины,.V13 2023,627
"Келлен, Элис.",Элис Келлен.,.V63 2022,628
"Карранса, Майте.",Отравленные слова,PQ6653.S71617,629
"Алиага, Сильвия.",Сыщики с Нанкин-роуд,.S98 2023,630
"Миссироли, Марко.",Марко Миссироли.,PQ4913.I8,631
"Ferrante, Elena.",Storia di chi fugge e di chi resta,.T778 2024,632
"Ferrante, Elena.",Storia del nuovo cognome,.S7713 2013,633
"Эко, Умберто.",Умберто Эко.,PQ4865.C6,634
"Дара, Доменико.",Мальинверно,PQ4904.A5845,636
"Каминито, Джулия.",Джулия Каминито.,.V53 2023,637
"Анжело, Алекс.",Кай,PQ4900,638
"Мюссо, Валентен.",Валентен Мюссо.,PQ2713.U883,639
"Шоплен, Антуан.",Итальянская партия,PQ2703.H67,640
"Перрен, Валери.",Поменяй воду цветам,PQ2700,641
"Мэй, Луиза.",Луиза Мэй.,PQ2700.M49,642
"Леви, Марк.",Марк Леви.,PQ2672.E9488,643
"Леви, Марк.",Следующий раз,.S64 2023,644
"Francoise, Sagan.",Sagan Francoise.,PQ2633.U74,645
"de Beauvoir, Simone.",Simone de Beauvoir.,PQ2603.E362,646
"Verne, Jules.",Jules Verne.,PQ2469.V75,647
"de Maupassant, Guy.",Guy de Maupassant.,PQ2357,648
"Флобер, Гюстав.",Гюстав Флобер.,PR2246.M2,649
"Бодлер, Шарль.",Шарль Бодлер.,PQ2191,650
"Перро, Шарль.",Шарль Перро.,PQ1851,651
"Baver, Kristin.",Star Wars 100 Objects,PN1997.S65,652
"Knox, Kelly.",Monsters,PN1995.9.S76,653
"Goethe, J. W.",J. W. Goethe.,PN6065.R8,654
"Chevalier, Tracy.",Tracy Chevalier.,PN1997.2,655
"Dobelli, Rolf.",Stop Reading the News,PN4731,656
,Картина мира,.S45 2023,657
James Hill,Myths and Legends,PN1995.9.S76,658
"Ларссон, Стиг.",Стиг Ларссон.,.S75 2022,659
"Лоу, Митч.",Митч Лоу.,PN1995.9.D57,660
"Bailey, Stephen.",Stephen Bailey.,PN151,661
"Кларк, Рой Питер.",Рой Питер Кларк.,PN145,662
"Юнг, Эмма.",Эмма Юнг.,PN686.G7,663
"Аствацатуров, Андрей Алексеевич.",Андрей Алексеевич Аствацатуров.,PN81,664
"Нурпеисов, А.",Последний долг,PN76.9,665
"Сонен, Ким.",Магазинчик времени,.S48 2024,666
"Акутагава, Рюноске.",Рюноске Акутагава.,PL801.K8,667
"Ынсук, Ким.","Ким Ынсук, Ким Суен.",PL984.3,668
"Боюн, Ма.",Ма Боюн.,.Z66 2023,669
"Ёнсин, Чхэ.",Чхэ Ёнсин.,.Y31 2023,672
"Ли, Сьюзан.",Сьюзан Ли.,PL992.4,673
"Чунхёк, Ким.",Стиратели: исчезнуть без следа,PL984.3,674
"Ирён, Квон.",Кто читает сердце тьмы. Первый профайлер Южной Кореи в погоне за серийными убийцами,PL984.3,675
"Сочжин, Ким.",Обыкновенное зло,PL984.E8,676
Им Сон Сун,Консультант,PL984,677
"Murakami, Haruki.",Haruki Murakami.,PL856.U673,678
"Фэйе, Е.",И завтра буду любить тебя,PL2953.F37,679
"Хигасино, Кэйго.",Летнее уравнение,PL852.I3625,680
"Соқпақпаев, Бердібек.",Бердібек Соқпақпаев.,PL76.9.S677,682
"Соқпақпаев, Бердібек.",Менің атым Қожа,PL76.9.S67,683
"Сеитова, Зауре.",Лучник,PL76.9.S45,684
"Құнанбайұлы, Абай.",Қара сөздер,.Q37 2024,685
"Құнанбайұлы, Абай.",Қара сөздер,.Q37 2019,686
"Нұрпейс, Ә.","Қан мен тер. Үш кітаптағы роман: Ымырт, Сергелдең, Күйреу",PL76.9.N8774,687
"Нұршайықов, Әзілхан.",Махаббат қызық мол жылдар,PL76.9.N877,688
"Нұршайықов, Әзілхан.",Әзілхан Нұршайықов.,PL76.9.N877,689
"Нұрманов, Ақан.",Құланның ажалы,.Q85 2022,690
"Мұратбеков, Сайын.",Сайын Мұратбеков.,.Z88 2024,691
"Мұқанов, Сәбит.",Сәбит Мұқанов.,PL76.9.M736,692
"Мүсірепов, Ғабит.",Өмір жорығы,PL76.9.M87,693
"Момышұлы, Бауыржан.",Ұщқан ұя,.U84 2024,694
"Момышулы, Бауыржан.",За нами Москва. Записки офицера,PL76.9.M66,695
"Момышұлы, Бауыржан.",Москва үшін шайқас,PL76.9.M66,696
"Майлин, Бейімбет.",Шұғаның белгісі,.Sh35 2024,697
"Майлин, Бейімбет.",Күлпаш,PL76.9.M35,698
"Исабеков, Дулат.",Қарғын роман,.Q27 2024,699
"Есенберлин, І.",Көшпенділер,PL76.9.E788,700
"Есенберлин, І.",І. Есенберлин.,PL76.9.E788,701
"Есенберлин, Ильяс.",Праздник любви,PL76.9.E788,702
"Есенберлин, Ильяс.",Радость белых лебедей,.R5 2023,703
"Есенберлин, І.",Махаббат мейрамы,PL76.9.E788,704
"Бөкей, Оралхан.",Оралхан Бөкей.,.S59 2023,707
"Біләлұлы, Жұмабай.",Жұмабай Біләлұлы.,.Z13 2023,708
"Баласағұн, Жүсіп.",Құтты білік,.Q53 2022,709
"Бөкей, Оралхан.",Оралхан Бөкей.,.Q5 2023,710
"Байтұрсынұлы, Ахмет.",Қырық мысал. Маса,.Q68 2024,711
"Байтұрсынұлы, Ахмет.",Қырық мысал,PL76.9.B354,712
"Аймауытов, Ж.",Қартқожа,PL76.9.A373,713
"Әбдік, Төлен.",Төлен Әбдік.,.Q31 2024,714
"Әбдік, Төлен.",Төлен Әбдік.,PL76.9.A30,715
"Торайғыров, Сұлтанмахмұт.",Сұлтанмахмұт Торайғыров.,.T674 2023,716
"Турсунов, Ермек.",Мамлюк,.T86 2023,717
,Тармақтар (өлеңдер). Махаббатымды жеткізетін тармақтар,.T5 2024,718
"Смагулова, С. О.",С. О. Смагулова.,.S51 2024,719
"Сейітов, Сүндет.",Ұмытпас,.S31 2022,721
"Санжар, Нұрлан.",Нұрлан Санжар.,.S18 2023,722
Мұсабай жырау.,Жанқожа батыр толғауы,PL76.9,723
"Мендыбаев, Александр.",Квартиранты,PL76.9,725
,Халық өлеңдері,PL76.9,726
"Естек, Қанат.",Қанат Естек.,PL76.9,727
"Аймауытұлы, Жүсіпбек.",Жүсіпбек Аймауытұлы.,PL76.9,728
"Айтматов, Чингиз.",Чингиз Айтматов.,PL65.K59,729
"Мұратбеков, Сайын.",Сайын Мұратбеков.,PL65.K45,730
"Пелевин, Виктор.",Священная книга оборотня,.S99 2023,731
"Айтматов, Чингиз.",Чингиз Айтматов.,PL44.9.A36,732
Омар Хайям.,Рубаи,.R51 2024,733
"Нево, Эшколь.",Эшколь Нево.,PJ5055.35.E95,734
"Пелевин, Виктор.",Омон Ра,PG3485.E38,735
"Пелевин, Виктор.",Путешествие в Элевсин,PG3485.E38,736
"Залманович, Мириам.",Тест Сегаля,.T47 2024,737
"Пелевин, Виктор.","Жизнь насекомых; Чапаев и Пустота ; Generation ""П""",.Z36 2021,738
"Пелевин, В.",Тайные виды на гору Фудзи,.T5 2024,739
"Пелевин, Виктор.",Виктор Пелевин.,.T68 2024,740
"Пелевин, Виктор.",Виктор Пелевин.,.S48 2024,741
"Singh, Pushpa.",Navigating the Big Data Landscape,QA76.9.Q36,742
"Пелевин, Виктор.",Синий фонарь,.S35 2023,743
"Пелевин, Виктор.",Непобедимое солнце,PG3485.E38,744
"Пелевин, Виктор.",Виктор Пелевин,PG3485.E38,745
"Пелевин, Виктор.",Виктор Пелевин.,PG3485.E38,746
"Пелевин, Виктор.",Чапаев и Пустота,PG3485.E38,749
"Пашкова, Ксения.",Лунара,PG3480,750
"Айтматов, Чингиз.",Чингиз Айтматов.,.R36 2024,751
"Замятин, Евгений.",Мы,PG3476.Z34,752
"Некрасова, Евгения.",Евгения Некрасова.,PG3476.N46,754
"Мирай, Медина.",Пятая сестра,PG3476.F36,755
"Булгаков, М.",Морфий,PG3476.B78,757
"Булгаков, Михаил.",Михаил Булгаков.,PG3476.B78,758
"Зейферт, Елена.",Плавильная лодочка,.Z45 2023,760
"Mills, Stuart",AI for Behavioural Science,Q335,761
"García, Jesús,","sensor fusion, machine vision, and mission management.",TL685.35,762
"Langer, Arthur M.",by Arthur M. Langer.,QA76.758,763
"Dehmer, Matthias,",Frontiers in data science,QA76.9.B45,764
"Malhotra, Ruchika.",Ruchika Malhotra.,QA76.758,765
"Kott, Alexander.",edited by Alexander Kott.,Q334,766
,"edited by Jennifer Hehn, Daniel Mendez, Walter Brenner, and Manfred Broy.",QA76.76D47,767
"Pursell, Brennan C.,","power, profit, and leadership in the age of machines",Q335,768
"Berthold, M.",How to Intelligently Make Use of Real Data,Q335,769
,Sustainable operations management,.S87 2015,771
,"Maria del Pilar Munoz Duenas, Lucia Aiello, Rosario Cabrita, and Mauro Gatti, editors.",HD60,772
author.,with R and Python,QA276.4,773
,Soft computing in materials development and its sustainability in the manufacturing sector,S648 2023,774
,Software Engineering and Formal Methods,QA76.758,775
,"edited by Craig A. Hill, Paul P. Biemer, Trent D. Buskirk, Lilli Japec, Antje Kirchner, Stas Kolenikov, Lars E. Lyberg.",QA76.9.B45,776
"Petrelli, Maurizio",Introduction to python in earth science data analysis,QE48.8,777
,Smart global megacities,TD159.4,778
,"Software engineering, artificial intelligence, networking and parallel/distributed computing",.S648 2021,779
"Chong, Edwin K. P.",with applications to machine learning,QA402.5,780
"Caldarelli, Guido",real cases studies with Python,TK5105.5,781
"Vasques, Xavier.",Machine Learning Theory and Applications,.V37 2024,782
"Gupta, Rajan","Rajan Gupta, Sanjana Das, Saibal Kumar Pal.",JF1525.A8,783
issuing body.,"Discoveryng, Analyzing, Visualising and Presenting Data",HD30.215,784
,techniques and intelligent applications,Q76.9.B45,785
,theory and applications,Q325.5,786
"Kordon, Arthur K.,",how to create value with artificial intelligence,.K673 2020,787
"Sunderland, Alexandra,",Remote Engineering Management,.S863 2022,789
,"edited by Parma Nand, PhD, Rakesh Nitin, PhD, Arun Prakash Agrawal, PhD, Vishal Jain, PhD.",QA76.758,790
"Griffis, F. H.","Leadership, ethics, and project execution",T56.8,791
"Kerzner, Harold,","methods, case studies, and tools for managing innovation projects",K479 2023,792
,Software engineering and formal methods,.S648 2015b,793
"Chew, Sing C.",Sing C. Chew.,TD170,794
,Engineering biostatistics,.V533 2017,795
"Cady, Field,",The data science handbook,QA76.9.D32,796
,research trends and challenges,T59.6,798
,"STAF 2018 Collocated Workshops, Toulouse, France, June 25-29, 2018, Revised Selected Papers",.S648 2018,799
,"technologies, applications, and challenges",Q335,800
"Kay, Adam",This is going to hurt,R489.35,801
"Raschka, Sebastian,","Sebastian Raschka, Vahid Mirjalili.",.R373 2019,802
"Parthasarathy, Harish.",Harish Parthasarathy.,QA276.6,803
"Zhang, Wen'gang,","by Wengang Zhang, Yanmei Zhang, Xin Gu, Chongzhi Wu, Liang Han.",.Z436 2022,804
,"STAF 2016 Collocated Workshops: DataMod, GCM, HOFM, MELO, SEMS, VeryComp, Vienna Austria, July 4-8, 2016, Revised Selected Papers",QA75.5,805
"Chakraverty, Snehashish",solving algebraic equations,QA76.87,806
"Homer, Karen.",the story of the iconic fashion house,TT505.B35,807
"Sommerville, Ian.",Software engineering,.S66 2015,808
"Baxter-Wright, Emma.",the story of the iconic fashion designer,TT505.C45,809
"Baxter-Wright, Emma,",Little book of Schiaparelli,TT505.S3,810
,Software Engineering and Formal Methods,.S64 2018,811
"Klipphahn-Karge, Michael.",Uncertain Intelligences.,Q334.7,812
"Bogacki, Przemyslaw,",Przemyslaw Bogacki.,QA184,813
,"edited by Lazaros Iliadis, Antonios Papaleonidas, Plamen Angelov, Chrisina Jayne.",Q335,814
"Pledger, Keith .",Keith Pledger.,QA43,815
"Igual, Laura","Laura Igual, Santi Segui.",Q180.55.Q36,817
"Мейс, Нэнси Л.","семейное руководство по уходу за людьми, страдающими болезнью Альцгеймера и другими видами деменции",RC522,818
,The cognitive approach in cloud computing and internet of things technologies for surveillance tracking systems,TK7882.E2,819
"Bóna, Miklós,",Walk through combinatorics,QA164,820
"Beaird, Jason",The principles of beautiful web design,TK105.888,821
"de Winter, Joost C.F.","Joost C. F. de Winter, Dimitra Dodou.",.W56 2017,822
"Линди, Сьюзан",Сьюзан Линди ; Пер. с англ.,Q175.35,823
"Stephens, Rod,",Understanding and Implementing Database Design Concepts for the Cloud and Beyond,.S747 2023,824
"Paper, David,",Data Science Fundamentals for Python and MongoDB,QA76.9.B45,825
"Айзексон, Уолтер",Энштейн,QC16.E5,826
